# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.822
# max_sidebands: 5
# timestamp: 2025-12-12 16:53:22
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# B: 0.06
# calculation: CPR
# sweep_parameter: B
# sweep_values: [0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5, 0.52, 0.54, 0.56, 0.58, 0.6, 0.62, 0.64, 0.66, 0.68, 0.7000000000000001, 0.72, 0.74, 0.76, 0.78, 0.8, 0.8200000000000001, 0.84, 0.86, 0.88, 0.9, 0.92, 0.9400000000000001, 0.96, 0.98, 1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.1400000000000001, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.3800000000000001, 1.4000000000000001, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.6400000000000001, 1.6600000000000001, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.8800000000000001, 1.9000000000000001, 1.92, 1.94, 1.96, 1.98, 2.0]
# outer_parallel: 4
B,Phase (rad),Current (nA)
0.0,1.53,14.224221206411997
0.0,1.55,14.304072968991248
0.0,1.57,14.378542168473716
0.0,1.59,14.459168470302904
0.0,1.61,14.543945093665151
0.0,1.6300000000000001,14.620423261298226
0.0,1.6500000000000001,14.681127724993445
0.0,1.6700000000000002,14.73178388625267
0.0,1.6900000000000002,14.7840557207807
0.0,1.7100000000000002,14.842105436615872
0.0,1.7300000000000002,14.897232769443582
0.0,1.7500000000000002,14.938214356258799
0.0,1.7700000000000002,14.96421254745496
0.0,1.79,14.986124673281227
0.0,1.81,15.013407117438987
0.0,1.83,15.04251338281806
0.0,1.85,15.05938048582118
0.0,1.87,15.058050211528093
0.0,1.8900000000000001,15.049377313918123
0.0,1.9100000000000001,15.047275691354907
0.0,1.9300000000000002,15.04730086596343
0.0,1.9500000000000002,15.030295290447468
0.0,1.9700000000000002,14.994060184337707
0.0,1.9900000000000002,14.959296664111278
0.0,2.0100000000000002,14.93321857020617
0.0,2.0300000000000002,14.892199546582434
0.0,2.0500000000000003,14.827521570040808
0.0,2.0700000000000003,14.76790091866144
0.0,2.0900000000000003,14.715502317294643
0.0,2.1100000000000003,14.635261677067183
0.0,2.1300000000000003,14.544851702610014
0.0,2.1500000000000004,14.470603548990148
0.0,2.1700000000000004,14.36928627581514
0.0,2.1900000000000004,14.256842620517217
0.0,2.2100000000000004,14.159754547848452
0.0,2.2300000000000004,14.026154855431992
0.0,2.2500000000000004,13.904101127817984
0.0,2.2700000000000005,13.768398773466703
0.0,2.2900000000000005,13.616636957272194
0.0,2.3100000000000005,13.473039428598108
0.0,2.33,13.299825560901121
0.0,2.3500000000000005,13.139989511920035
0.0,2.37,12.951465941714108
0.0,2.3900000000000006,12.768325110994923
0.0,2.41,12.572467976819675
0.0,2.4300000000000006,12.357969813520995
0.0,2.45,12.15581713469824
0.0,2.4700000000000006,11.923628533633693
0.0,2.49,11.687471624455808
0.0,2.5100000000000007,11.45588979270673
0.0,2.5300000000000002,11.204147560685817
0.0,2.5500000000000007,10.936621889839705
0.0,2.5700000000000003,10.666609876909552
0.0,2.5900000000000007,10.393798193127564
0.0,2.6100000000000003,10.112207387059955
0.0,2.630000000000001,9.819107457470079
0.0,2.6500000000000004,9.515907148846438
0.0,2.670000000000001,9.203844261283152
0.0,2.6900000000000004,8.883492481447144
0.0,2.710000000000001,8.555015244651926
0.0,2.7300000000000004,8.217613170344315
0.0,2.7500000000000004,7.87052606932923
0.0,2.7700000000000005,7.515003373500915
0.0,2.7900000000000005,7.155729189939625
0.0,2.8100000000000005,6.794753490095148
0.0,2.8300000000000005,6.4228301088650905
0.0,2.8500000000000005,6.0375523325289215
0.0,2.8700000000000006,5.655799522663993
0.0,2.8900000000000006,5.26425642809511
0.0,2.9100000000000006,4.8647533760001025
0.0,2.9300000000000006,4.465558184125007
0.0,2.9500000000000006,4.056132814770785
0.0,2.9700000000000006,3.645430939206826
0.0,2.9900000000000007,3.2317028959006007
0.0,3.0100000000000007,2.810009049141976
0.0,3.0300000000000007,2.38914970779931
0.0,3.0500000000000007,1.9658704311100919
0.0,3.0700000000000007,1.5385835567294848
0.0,3.0900000000000007,1.1094077783356218
