# Calculation Metadata
# N_SC: 1
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.842
# max_sidebands: 20
# timestamp: 2025-10-22 19:09:03
# common_timestamp: 20251022_184223
# disorder_type: none
# calculation: DC_IV_2D
# duration: 1600.02290558815
# B_points: 21
# B_max: 2.0
# Vbias_points: 501
# outer_parallel_n: 1
Magnetic Field,Bias Voltage (meV),Current (nA),SidebandN
0.1,0.42300000000000004,5.458119478135638,20
0.1,0.42600000000000005,5.495718166561208,20
0.1,0.42900000000000005,5.533511119693943,20
0.1,0.43200000000000005,5.571506668081633,20
0.1,0.43500000000000005,5.609704828407741,20
0.1,0.43800000000000006,5.648108430714585,20
0.1,0.44100000000000006,5.686721162014675,20
0.1,0.44400000000000006,5.725539942864535,20
0.1,0.44700000000000006,5.764571212744008,20
0.1,0.45000000000000007,5.8038169010445255,20
0.1,0.45299999999999996,5.843275483344988,20
0.1,0.45599999999999996,5.882949434216468,20
0.1,0.45899999999999996,5.922834992989114,20
0.1,0.46199999999999997,5.962942421934858,20
0.1,0.46499999999999997,6.00326260453581,20
0.1,0.46799999999999997,6.043795841874728,20
0.1,0.471,6.084545808739187,20
0.1,0.474,6.125511713361798,20
0.1,0.477,6.166697094476696,20
0.1,0.48,6.20810335569065,20
0.1,0.492,6.3758559196199815,20
0.1,0.504,6.5470133909553665,20
0.1,0.516,6.720962515174879,20
0.1,0.528,6.896447602199953,20
0.1,0.54,7.073174985726586,20
0.1,0.552,7.250174071900248,20
0.1,0.5640000000000001,7.425201473634471,20
0.1,0.5760000000000001,7.595465129760045,20
0.1,0.5880000000000001,7.759573887393335,20
0.1,0.6,7.919185712563845,20
0.1,0.612,8.073318780262793,20
0.1,0.624,8.22179055607893,20
0.1,0.636,8.364869800017347,20
0.1,0.648,8.501059599113015,20
0.1,0.66,8.630574374653994,20
0.1,0.672,8.753754727320143,20
0.1,0.684,8.871118135590155,20
0.1,0.6960000000000001,8.983447922423137,20
0.1,0.7080000000000001,9.091335199336408,20
0.1,0.7200000000000001,9.195224646312798,20
0.1,0.7320000000000001,9.295326640201996,20
0.1,0.744,9.391777256438719,20
0.1,0.756,9.484595763462309,20
0.1,0.768,9.573739896274919,20
0.1,0.78,9.659025822938093,20
0.1,0.792,9.740555274735135,20
0.1,0.804,9.818653724069744,20
0.1,0.8160000000000001,9.893402273821637,20
0.1,0.8280000000000001,9.964881899356948,20
0.1,0.84,10.033055662524573,20
0.1,0.852,10.097761182091197,20
0.1,0.864,10.158750595966572,20
0.1,0.876,10.215647496722127,20
0.1,0.888,10.26802899963727,20
0.1,0.8999999999999999,10.315244917970833,20
0.2,0.03,0.009629630165106795,20
0.2,0.033,0.009474369008913157,20
0.2,0.036000000000000004,0.009768250114307613,20
0.2,0.039,0.010155422832089504,20
0.2,0.042,0.011501470628771713,20
0.2,0.045000000000000005,0.013606451510287977,20
0.2,0.048,0.016825292160281422,20
0.2,0.051000000000000004,0.01917940395303237,20
0.2,0.054,0.024019894920263074,20
0.2,0.056999999999999995,0.03284432639793364,20
0.2,0.06,0.04459459542656214,20
0.2,0.063,0.05432198384454644,20
0.2,0.066,0.06211681680578281,20
0.2,0.069,0.0755151527253374,20
0.2,0.07200000000000001,0.09089021968897566,20
0.2,0.075,0.10714013228539955,20
0.2,0.078,0.12561766825470858,20
0.2,0.081,0.14745868713678706,20
0.2,0.084,0.16970773356836813,20
0.2,0.08700000000000001,0.19405119096102819,20
0.2,0.09000000000000001,0.22562937478676742,20
0.2,0.093,0.26653140730885516,20
0.2,0.096,0.3118589778121808,20
0.2,0.099,0.34882576173730884,20
0.2,0.102,0.38163274364245964,20
0.2,0.105,0.41548624342987694,20
0.2,0.108,0.44550930217735707,20
0.2,0.111,0.47866153427788005,20
0.2,0.11399999999999999,0.512515924556582,20
0.2,0.11699999999999999,0.5473036964891794,20
0.2,0.12,0.5783601922721168,20
0.2,0.123,0.6108328976631583,20
0.2,0.126,0.6468111282439225,20
0.2,0.129,0.6870229606235039,20
0.2,0.132,0.7317309453455121,20
0.2,0.135,0.7796387483732372,20
0.2,0.13799999999999998,0.8289773203388552,20
0.2,0.141,0.8820144550346403,20
0.2,0.144,0.9397138166699014,20
0.2,0.147,1.0012923392670408,20
0.2,0.15,1.062172709978475,20
0.2,0.153,1.117254040435223,20
0.2,0.156,1.1705094881875433,20
0.2,0.159,1.2227506616180994,20
0.2,0.162,1.2732253128473434,20
0.2,0.165,1.3214615956774614,20
0.2,0.168,1.3712361654538088,20
0.2,0.171,1.4249866282260577,20
0.2,0.174,1.4825128085011763,20
0.2,0.177,1.543232185234607,20
0.2,0.18,1.605423627063342,20
0.2,0.183,1.6659125528936265,20
0.2,0.186,1.7250658718043277,20
0.2,0.189,1.783415400631748,20
0.2,0.192,1.8409203952930406,20
0.2,0.195,1.8971812063378528,20
0.2,0.198,1.9512743123758185,20
0.2,0.201,2.001168152560663,20
0.2,0.204,2.0467922445983198,20
0.2,0.207,2.0903845460602235,20
0.2,0.21,2.1327656356855083,20
0.2,0.213,2.174324750019111,20
0.2,0.216,2.2152784264050513,20
0.2,0.219,2.2557526177731746,20
0.2,0.222,2.2961825801920868,20
0.2,0.22499999999999998,2.337765714673783,20
0.2,0.22799999999999998,2.3808908350413946,20
0.2,0.23099999999999998,2.425704923184044,20
0.2,0.23399999999999999,2.4723196145456634,20
0.2,0.237,2.5208278491766745,20
0.2,0.24,2.5712807022461863,20
0.2,0.24299999999999997,2.6235770721567175,20
0.2,0.24599999999999997,2.6776178052053985,20
0.2,0.24899999999999997,2.73343628854488,20
0.2,0.252,2.7910810544691462,20
0.2,0.255,2.850594444642495,20
0.2,0.258,2.912004212392405,20
0.2,0.261,2.9753113493507177,20
0.2,0.264,3.0404666918222607,20
0.2,0.267,3.1073142785979453,20
0.2,0.27,3.1753811312663505,20
0.2,0.273,3.243299483920999,20
0.2,0.276,3.310424247135731,20
0.2,0.279,3.3768635428998226,20
0.2,0.282,3.4426810236908234,20
0.2,0.285,3.5078798253171737,20
0.2,0.288,3.572407363965242,20
0.2,0.291,3.636150830518535,20
0.2,0.294,3.698915582910795,20
0.2,0.297,3.7603707649352947,20
0.2,0.3,3.8198631439027806,20
0.2,0.303,3.876380381493747,20
0.2,0.306,3.9301843894846495,20
0.2,0.309,3.981796180276711,20
0.2,0.312,4.031518563826842,20
0.2,0.315,4.0795433807482535,20
0.2,0.318,4.125996697936092,20
0.2,0.321,4.170959998328998,20
0.2,0.324,4.214477649131537,20
0.2,0.327,4.256560304872141,20
0.2,0.33,4.2971914417036166,20
0.2,0.333,4.336587410840505,20
0.2,0.336,4.375220484502061,20
0.2,0.339,4.413306660433847,20
0.2,0.342,4.45096428738851,20
0.2,0.34500000000000003,4.488274914420241,20
0.2,0.34800000000000003,4.525299250917986,20
0.2,0.35100000000000003,4.562083437953365,20
0.2,0.35400000000000004,4.598665294503007,20
0.2,0.35700000000000004,4.635074512494114,20
0.2,0.36000000000000004,4.671332065773928,20
0.2,0.36300000000000004,4.7074661876467685,20
0.2,0.36600000000000005,4.743536096242194,20
0.2,0.36900000000000005,4.7795873928981205,20
0.2,0.37200000000000005,4.815653353795511,20
0.2,0.37500000000000006,4.851760972142219,20
0.2,0.378,4.887930466638572,20
0.2,0.381,4.924182195265349,20
0.2,0.384,4.960527650861256,20
0.2,0.387,4.996981146437957,20
0.2,0.39,5.03355172435187,20
0.2,0.393,5.070252422442976,20
0.2,0.396,5.107091746772247,20
0.2,0.399,5.144072912439503,20
0.2,0.402,5.181201687788963,20
0.2,0.405,5.218482933632764,20
0.2,0.40800000000000003,5.255924495368758,20
0.2,0.41100000000000003,5.293526561189391,20
0.2,0.41400000000000003,5.331293142072838,20
0.2,0.41700000000000004,5.3692253161222725,20
0.2,0.42000000000000004,5.4073279979215645,20
0.2,0.42300000000000004,5.445603153177932,20
0.2,0.42600000000000005,5.484054276637629,20
0.2,0.42900000000000005,5.522680179010397,20
0.2,0.43200000000000005,5.56148647901574,20
0.2,0.43500000000000005,5.600473008031631,20
0.2,0.43800000000000006,5.6396393283192925,20
0.2,0.44100000000000006,5.6789886215960275,20
0.2,0.44400000000000006,5.718518218564425,20
0.2,0.44700000000000006,5.758230751820931,20
0.2,0.45000000000000007,5.798122495330398,20
0.2,0.45299999999999996,5.838195539235419,20
0.2,0.45599999999999996,5.878443351218101,20
0.2,0.45899999999999996,5.918869092745432,20
0.2,0.46199999999999997,5.959474414317356,20
0.2,0.46499999999999997,6.000250379032782,20
0.2,0.46799999999999997,6.041195494623257,20
0.2,0.471,6.082302377860975,20
0.2,0.474,6.123563042284661,20
0.2,0.477,6.164968814335012,20
0.2,0.48,6.206504616426463,20
0.2,0.492,6.372843135843306,20
0.2,0.504,6.538212541031637,20
0.2,0.516,6.701602791128542,20
0.2,0.528,6.861959621741469,20
0.2,0.54,7.017884382004306,20
0.2,0.552,7.167398327997653,20
0.2,0.5640000000000001,7.312794749098694,20
0.2,0.5760000000000001,7.45583373147999,20
0.2,0.5880000000000001,7.597299293128538,20
0.2,0.6,7.737437208085948,20
0.2,0.612,7.875218529628762,20
0.2,0.624,8.010343281505142,20
0.2,0.636,8.14326921889433,20
0.2,0.648,8.274303020574834,20
0.2,0.66,8.403503691707703,20
0.2,0.672,8.529748194604622,20
0.2,0.684,8.651758055874764,20
0.2,0.6960000000000001,8.769665038345112,20
0.2,0.7080000000000001,8.88362308097892,20
0.2,0.7200000000000001,8.993821252682023,20
0.2,0.7320000000000001,9.100034475746881,20
0.2,0.744,9.201954019138155,20
0.2,0.756,9.299632950276894,20
0.2,0.768,9.393250914362294,20
0.2,0.78,9.483078536764191,20
0.2,0.792,9.569102153617116,20
0.2,0.804,9.6516048165899,20
0.2,0.8160000000000001,9.730650542000205,20
0.2,0.8280000000000001,9.806245869159127,20
0.2,0.84,9.878356638812216,20
0.2,0.852,9.946952641735901,20
0.2,0.864,10.011753397244222,20
0.2,0.876,10.072391953206544,20
0.2,0.888,10.128388481496984,20
0.2,0.8999999999999999,10.178898606607987,20
0.30000000000000004,0.03,0.00837283967668004,20
0.30000000000000004,0.033,0.008440539877449128,20
0.30000000000000004,0.036000000000000004,0.00862675712844993,20
0.30000000000000004,0.039,0.009352427468213326,20
0.30000000000000004,0.042,0.011276587539578135,20
0.30000000000000004,0.045000000000000005,0.01394335188060588,20
0.30000000000000004,0.048,0.015549295888545901,20
0.30000000000000004,0.051000000000000004,0.01965981830969334,20
0.30000000000000004,0.054,0.027770800521294978,20
0.30000000000000004,0.056999999999999995,0.03920449344009466,20
0.30000000000000004,0.06,0.04735606704777319,20
0.30000000000000004,0.063,0.05594097609542251,20
0.30000000000000004,0.066,0.06950021063649064,20
0.30000000000000004,0.069,0.08147644365367723,20
0.30000000000000004,0.07200000000000001,0.09271484229792598,20
0.30000000000000004,0.075,0.10944631817553487,20
0.30000000000000004,0.078,0.13104981456638837,20
0.30000000000000004,0.081,0.15505415643397938,20
0.30000000000000004,0.084,0.17930387524859334,20
0.30000000000000004,0.08700000000000001,0.21196810357090615,20
0.30000000000000004,0.09000000000000001,0.2558950742028635,20
0.30000000000000004,0.093,0.3109621139581407,20
0.30000000000000004,0.096,0.3657655030432326,20
0.30000000000000004,0.099,0.40083984666977107,20
0.30000000000000004,0.102,0.42163714405190605,20
0.30000000000000004,0.105,0.4423607775925206,20
0.30000000000000004,0.108,0.4627577763148255,20
0.30000000000000004,0.111,0.4874103756239781,20
0.30000000000000004,0.11399999999999999,0.5142436100796219,20
0.30000000000000004,0.11699999999999999,0.5460946316827522,20
0.30000000000000004,0.12,0.5772866238827123,20
0.30000000000000004,0.123,0.6112343736477387,20
0.30000000000000004,0.126,0.6485370785519647,20
0.30000000000000004,0.129,0.6872881577607385,20
0.30000000000000004,0.132,0.7277105433712816,20
0.30000000000000004,0.135,0.7720651710869992,20
0.30000000000000004,0.13799999999999998,0.8215830834101313,20
0.30000000000000004,0.141,0.8764199955039247,20
0.30000000000000004,0.144,0.9365952837744761,20
0.30000000000000004,0.147,1.0020893198851453,20
0.30000000000000004,0.15,1.0697713933662552,20
0.30000000000000004,0.153,1.133113946253857,20
0.30000000000000004,0.156,1.1941307611132956,20
0.30000000000000004,0.159,1.2539147219552413,20
0.30000000000000004,0.162,1.3125008838629744,20
0.30000000000000004,0.165,1.3695153905115158,20
0.30000000000000004,0.168,1.4242986677327583,20
0.30000000000000004,0.171,1.475818519845423,20
0.30000000000000004,0.174,1.525186356386514,20
0.30000000000000004,0.177,1.5751650197498943,20
0.30000000000000004,0.18,1.625769095375211,20
0.30000000000000004,0.183,1.6770061163462522,20
0.30000000000000004,0.186,1.7289360917295158,20
0.30000000000000004,0.189,1.7816003928353286,20
0.30000000000000004,0.192,1.8349918399034857,20
0.30000000000000004,0.195,1.8890133694628675,20
0.30000000000000004,0.198,1.9431938439378087,20
0.30000000000000004,0.201,1.9958624399610345,20
0.30000000000000004,0.204,2.0461320014232576,20
0.30000000000000004,0.207,2.095266903489621,20
0.30000000000000004,0.21,2.143812987483495,20
